date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd
01-May-05,0,17,0,10.4,0,10.5,0,0.9,998.7,12.6,0,21,0,180,0,29,5.6,0,13.8,2.5,3.7,1.6,1.6,-7.8
02-May-05,0,17.5,0,9.1,0,6.8,0,4.5,1000.5,7,0,17,0,170,0,21,3.3,0,13.55,2.6,3.6,0,-0.4,-9.4
03-May-05,0,12.5,0,9.2,0,5.3,0,0.1,1011.4,9.2,0,19,0,310,0,27,0,0,12.55,1.7,2.3,1.6,1.6,-7.3
04-May-05,0,15,0,6.8,0,5,0,0,1024,9.3,0,15,0,0,0,26,8.2,0,12.2,3,4.4,4.5,4.5,-3.9
05-May-05,0,15.6,0,9.6,0,6.3,0,0.5,1024.2,13.3,0,23,0,270,0,31,3.9,0,13.1,2.6,3.9,6.5,6.5,-1.6
06-May-05,0,13.5,0,9.6,0,9.3,0,0.2,1018.7,12.4,0,20,0,270,0,28,0.1,0,12.725,1.5,2.2,7.7,7.7,-0.3
07-May-05,0,14.2,0,7.2,0,5.4,0,1.2,1017.2,10.2,0,19,0,290,0,26,11.5,0,12.95,3.3,5,9.6,9.6,1.8
08-May-05,0,13.7,0,4.6,0,4.6,0,1,1017.9,8.4,0,18,0,300,0,28,10.6,0,12.5,2.8,4.2,11.1,11.1,3.6
09-May-05,0,13.5,0,2.3,1,-0.8,3,0,1020.2,8.2,0,15,0,350,0,25,13.5,0,11.825,3.1,4.6,13.9,13.9,6.7
10-May-05,0,14.5,0,0.2,1,-2.1,3,0,1022.9,5.2,0,11,0,40,0,18,11.3,0,12.325,3.1,4.4,16.6,16.6,9.8
11-May-05,0,14.2,0,3.1,1,-0.1,2,0,1022.7,4.2,0,12,0,170,0,16,6,0,12.475,2.6,3.6,18.8,18.8,12.4
12-May-05,0,15,0,5.8,0,3.3,3,0,1018.9,5.8,0,13,0,110,0,20,9,0,12.75,3.2,4.5,21.5,21.5,15.5
13-May-05,0,13.8,0,6.6,0,3.9,0,0,1017.9,13.1,0,20,0,60,0,30,0.8,0,12.325,2.7,3.8,23.6,23.6,18
14-May-05,0,16.6,0,7,0,5.6,0,0,1017,13,0,22,0,70,0,30,13.3,0,13.125,4.3,6.4,27,27,22
15-May-05,0,18.6,0,5.5,0,3.3,3,0,1016.2,7.8,0,14,0,40,0,20,11.5,0,14,4.2,5.9,30.2,30.2,25.7
16-May-05,0,15.8,0,6.2,0,4.7,2,0,1019.3,7.8,0,16,0,20,0,21,2,0,13.6,2.5,3.4,32,32,27.8
17-May-05,0,14,0,1.1,1,-2,2,0,1019.2,5.2,0,13,0,20,0,18,13.5,0,13.05,3.5,5,34.4,34.4,30.6
18-May-05,0,12.9,0,6.7,0,4.3,0,6.2,1009.3,8,0,18,0,150,0,26,0,0,13,1.4,2,29.2,29.2,25.5
19-May-05,0,16.1,0,11,0,10.3,2,0,999.6,12.6,0,20,0,160,0,29,1.7,0,13.7,2.6,3.9,31.1,31.1,27.7
20-May-05,0,14.8,0,7.4,0,9.2,0,1.8,998.6,12.5,0,21,0,250,0,29,9.1,0,14.3,2.9,4.8,31.4,31.4,28.3
21-May-05,0,14.2,0,6.4,0,5,0,8.3,1000.1,5.7,0,15,0,230,0,20,7.2,0,13.175,2.6,3.7,24.9,24.9,22.1
22-May-05,0,13.1,0,5.7,0,1.8,0,2.7,1000.3,9,0,18,0,280,0,25,7,0,12.675,2.6,4,24.2,24.2,21.7
23-May-05,0,12.4,0,7.1,0,5.5,0,11.5,1003.7,16.5,0,30,0,240,0,40,4.6,0,12.05,2.4,4,14.6,14.6,12.3
24-May-05,0,16.6,0,9,0,8.2,0,4.4,1004.4,8.5,0,14,0,100,0,21,3.3,0,13.85,2.6,3.8,12.4,12.4,10.4
25-May-05,0,15.9,0,10.6,0,10,0,8.7,1007.2,11.8,0,18,0,170,0,24,0.1,0,14.05,1.5,2.3,5.1,5.1,3.3
26-May-05,0,16.5,0,8.4,0,4.8,0,0.3,1010.5,8.3,0,17,0,240,0,23,7.9,0,14.375,3.1,4.7,7.8,7.8,6.1
27-May-05,0,12.6,0,9.7,0,9.5,0,26.4,1003.9,7.8,0,14,0,40,0,19,0,0,13.475,0.9,1.4,0,-10,-10
